# DES-SN5YR photometry subset (public data release: DES Collaboration 2024;
# Sanchez et al. 2024; https://github.com/des-science/DES-SN5YR ,
# doi:10.5281/zenodo.12720777). Cosmology-sample SNe Ia (IDSURVEY 10),
# zHEL 0.05-0.65 stratified (all z<0.2 + 25/bin, seed 42); SNANA SMP
# FLUXCAL -> AB mag (27.5 - 2.5 log10 FLUXCAL), SNR >= 3.
# x1/c/mB/mu columns = the release SALT3 fits (DES-Dovekie_Metadata.csv),
# carried for cross-checks only.
snid,mjd,band,mag,emag
1247420,56534.2040,g,20.9686,0.0157
1247420,56534.2060,r,21.0131,0.0238
1247420,56538.3820,g,20.0503,0.0077
1247420,56538.3850,r,20.1229,0.0147
1247420,56543.3240,g,19.6783,0.0049
1247420,56543.3270,r,19.7762,0.0078
1247420,56547.2120,g,19.6408,0.0058
1247420,56547.2150,r,19.6801,0.0072
1247420,56551.2930,g,19.7324,0.0180
1247420,56551.2960,r,19.6744,0.0143
1247420,56559.1670,g,20.0863,0.0358
1247420,56559.1690,r,20.0737,0.0896
1247420,56563.2590,g,20.4164,0.0098
1247420,56563.2620,r,20.2456,0.0110
1247420,56567.1570,g,20.7427,0.0163
1247420,56567.1600,r,20.4093,0.0279
1247420,56575.1390,r,20.6264,0.0113
1247420,56579.1280,r,20.8194,0.0361
1247420,56591.0770,g,22.1280,0.0724
1247420,56591.0790,r,21.3913,0.0449
1247420,56602.0630,g,22.4516,0.0462
1247420,56602.0660,r,21.7902,0.0326
1247420,56615.0230,g,22.4630,0.1607
1247420,56615.0250,r,22.0633,0.1132
1247420,56618.0300,g,22.6365,0.0638
1247420,56618.0330,r,22.1064,0.0544
1247420,56627.0500,g,22.7946,0.0595
1247420,56627.0530,r,22.3179,0.0451
1247420,56635.0540,g,22.9852,0.1660
1247420,56635.0570,r,22.3210,0.1136
1247420,56642.1160,r,22.3805,0.2953
1247420,56648.1480,r,22.4151,0.1042
1247420,56653.0720,g,22.8170,0.1270
1247420,56653.0740,r,22.0755,0.0825
1247420,56660.1160,g,23.8998,0.2335
1247420,56660.1190,r,23.1745,0.1698
1247420,56676.0440,g,23.4113,0.1962
1247420,56676.0460,r,22.9126,0.1356
1247420,56691.0590,g,24.2113,0.3308
1247420,56691.0620,r,23.5529,0.2176
1249264,56534.1540,g,24.5630,0.1962
1249264,56534.1570,r,23.7410,0.1442
1249264,56534.1850,g,24.5276,0.1705
1249264,56534.1880,r,23.7876,0.1340
1249264,56534.1900,i,23.9041,0.2046
1249264,56534.1930,z,23.9000,0.2602
1249264,56538.1470,g,23.8561,0.1137
1249264,56538.1500,r,23.3326,0.1069
1249264,56538.1520,i,23.5717,0.2038
1249264,56538.1550,z,23.2394,0.1988
1249264,56538.1610,g,23.8567,0.1282
1249264,56538.1630,r,23.2688,0.0927
1249264,56538.1650,i,23.2615,0.1302
1249264,56538.1680,z,23.8650,0.2836
1249264,56543.0920,g,23.9638,0.1820
1249264,56543.0940,r,22.8659,0.1042
1249264,56543.0960,i,23.4556,0.2715
1249264,56543.0990,z,22.9944,0.2335
1249264,56543.1050,g,23.5806,0.1430
1249264,56543.1080,r,22.8726,0.1205
1249264,56543.1100,i,23.1817,0.2301
1249264,56547.0830,r,22.7534,0.1179
1249264,56547.0850,i,22.9765,0.1548
1249264,56547.0870,z,23.1740,0.2132
1249264,56547.0940,g,23.4538,0.2132
