# BEAMS core-collapse probability from DES-Dovekie_Metadata.csv (release classification)
snid,probcc
1247420,5.482e-04
1249264,0.000e+00
1250017,0.000e+00
1250034,0.000e+00
1253119,5.762e-02
1253895,3.721e-03
1253920,0.000e+00
1254889,1.598e-05
1256680,6.336e-06
1256701,7.159e-02
1257695,0.000e+00
1259241,0.000e+00
1260159,4.859e-04
1261193,0.000e+00
1261236,1.733e-04
1262267,2.973e-04
1265089,1.525e-03
1265134,8.352e-05
1265260,7.604e-03
1266830,3.796e-04
1273127,6.031e-06
1275946,0.000e+00
1277173,1.093e-02
1279500,0.000e+00
1281119,1.731e-03
1281886,0.000e+00
1283923,8.800e-06
1289346,1.000e+00
1289982,1.000e+00
1290007,1.256e-05
1291090,0.000e+00
1292560,0.000e+00
1292823,0.000e+00
1293046,1.245e-04
1293758,0.000e+00
1293789,0.000e+00
1294351,0.000e+00
1294436,1.000e+00
1295844,1.000e+00
1296321,0.000e+00
1296657,0.000e+00
1296793,5.716e-05
1298893,4.007e-06
1299775,0.000e+00
1302915,2.163e-03
1303279,6.619e-03
1303496,0.000e+00
1306059,5.793e-05
1306366,2.148e-05
1306423,1.130e-02
1306991,1.794e-05
1310396,0.000e+00
1311631,1.104e-04
1312164,2.236e-05
1312213,2.028e-02
1315910,1.226e-01
1316385,0.000e+00
1317164,0.000e+00
1317612,3.821e-05
1317666,0.000e+00
1318737,0.000e+00
1319614,5.989e-03
1321276,1.634e-05
1323349,1.143e-04
1324685,0.000e+00
1324938,1.000e+00
1330031,0.000e+00
1330817,0.000e+00
1331123,2.646e-06
1332392,1.583e-03
1332721,2.346e-05
1334084,0.000e+00
1334423,0.000e+00
1334620,0.000e+00
1334654,9.996e-01
1335671,0.000e+00
1336150,1.042e-04
1336453,0.000e+00
1336464,0.000e+00
1336687,0.000e+00
1336975,0.000e+00
1337687,0.000e+00
1339392,0.000e+00
1343401,3.771e-06
1343871,7.006e-06
1344303,3.071e-04
1346956,1.126e-05
1368143,5.599e-05
1368530,9.556e-06
1371046,0.000e+00
1435067,0.000e+00
1479069,0.000e+00
1500031,0.000e+00
1502029,0.000e+00
1504139,2.189e-06
1530193,0.000e+00
1574062,0.000e+00
1578103,0.000e+00
1634024,0.000e+00
1643063,0.000e+00
1703026,1.730e-05
1770639,1.000e+00
1777122,7.160e-03
1810306,3.686e-04
1815065,2.201e-06
1833339,9.662e-05
1847148,7.882e-02
1860025,0.000e+00
1862039,0.000e+00
1864053,8.851e-07
1871023,1.000e+00
1879187,3.944e-03
1879208,0.000e+00
1879649,1.000e+00
1891082,0.000e+00
1900662,0.000e+00
1904092,0.000e+00
1905171,0.000e+00
1922067,0.000e+00
1927242,0.000e+00
1929063,0.000e+00
1948484,7.423e-06
