# SDSS-II Supernova Survey photometry subset (public data release:
# Sako et al. 2018, PASP 130, 064002;
# https://portal.nersc.gov/project/dessn/SDSS/dataRelease/).
# Spectroscopically confirmed SNe Ia, z 0.05-0.35; SNANA FLUXCAL
# converted to AB magnitudes (27.5 - 2.5 log10 FLUXCAL), SNR > 3.
snid,mjd,band,mag,emag
722,53616.317,g,18.913,0.0931
722,53616.317,r,18.616,0.1343
722,53616.317,i,19.0331,0.1132
722,53616.317,z,19.8545,0.3168
722,53623.308,g,19.392,0.033
722,53623.308,r,19.193,0.025
722,53623.308,i,19.6892,0.037
722,53623.308,z,20.2035,0.3436
722,53626.294,g,19.6941,0.028
722,53626.294,r,19.3891,0.022
722,53626.294,i,19.7662,0.038
722,53626.294,z,20.1589,0.1465
722,53628.279,g,19.9991,0.047
722,53628.279,r,19.4341,0.032
722,53628.279,i,19.8403,0.049
722,53628.279,z,20.1426,0.1731
722,53635.287,g,20.7063,0.0611
722,53635.287,r,19.7091,0.037
722,53635.287,i,19.7312,0.037
722,53635.287,z,20.1102,0.1392
722,53637.280,g,20.8084,0.0781
722,53637.280,r,19.8501,0.051
722,53637.280,i,19.7432,0.054
722,53637.280,z,19.9585,0.1919
722,53639.326,g,20.9415,0.0551
722,53639.326,r,19.9521,0.035
722,53639.326,i,19.8373,0.041
722,53639.326,z,19.8888,0.1101
722,53644.273,g,21.2799,0.0732
722,53644.273,r,20.2703,0.045
722,53644.273,i,20.0394,0.0511
722,53644.273,z,19.8989,0.1183
722,53654.307,g,21.7452,0.0945
722,53654.307,r,20.6245,0.0501
722,53654.307,i,20.6371,0.0822
722,53654.307,z,20.4535,0.1947
722,53656.255,g,21.6659,0.2572
722,53656.255,r,20.7026,0.0932
722,53656.255,i,20.6011,0.1124
722,53663.268,g,21.7452,0.146
722,53663.268,r,20.9429,0.0762
722,53663.268,i,20.942,0.1025
722,53668.257,g,21.8296,0.1674
722,53668.257,r,21.2767,0.1621
722,53668.257,i,21.3593,0.2325
722,53670.262,g,21.924,0.1088
722,53670.262,r,21.0561,0.0752
722,53670.262,i,21.0635,0.1188
722,53670.262,z,20.8915,0.2856
722,53673.230,g,21.9713,0.1119
722,53673.230,r,21.0841,0.0812
722,53673.230,i,21.1942,0.1371
722,53673.230,z,20.9116,0.2786
722,53675.226,g,22.1617,0.1375
722,53675.226,r,21.0942,0.0893
722,53675.226,i,21.1479,0.1391
722,53677.247,g,21.9441,0.1048
722,53677.247,r,21.2646,0.0823
722,53677.247,i,21.4793,0.153
722,53680.234,g,22.578,0.2152
722,53680.234,r,21.0791,0.0772
722,53680.234,i,21.545,0.1818
722,53693.235,g,22.0025,0.2404
722,53693.235,r,21.7972,0.2017
722,53693.235,i,21.7101,0.2477
722,53698.232,r,21.8285,0.2948
722,53698.232,i,21.7426,0.3532
722,53699.255,g,22.7692,0.2567
722,53699.255,r,21.4653,0.1562
722,53699.255,i,21.9393,0.2811
722,53704.217,g,22.2819,0.1664
722,53704.217,r,21.7489,0.1546
739,53616.355,g,19.556,0.026
739,53616.355,r,19.4031,0.024
739,53616.355,i,19.7762,0.044
739,53616.355,z,20.6254,0.3035
739,53626.332,g,20.6843,0.041
739,53626.332,r,19.9842,0.029
739,53626.332,i,20.2145,0.0531
739,53626.332,z,20.8095,0.2933
739,53628.317,g,21.0816,0.1284
739,53628.317,r,20.0572,0.047
739,53628.317,i,20.3557,0.0741
739,53628.317,z,20.2778,0.1924
739,53635.325,g,21.5124,0.1165
739,53635.325,r,20.4724,0.0541
739,53635.325,i,20.1315,0.0501
739,53635.325,z,20.3532,0.1608
739,53637.319,g,21.7411,0.144
739,53637.319,r,20.6135,0.0671
739,53637.319,i,20.4468,0.0782
739,53637.319,z,20.6036,0.269
739,53639.364,g,22.1294,0.1253
739,53639.364,r,20.6595,0.0471
739,53639.364,i,20.4738,0.0611
739,53639.364,z,20.6989,0.1963
739,53644.311,g,22.076,0.1313
739,53644.311,r,20.8257,0.0762
739,53644.311,i,20.2265,0.0741
739,53654.346,g,22.4773,0.1641
739,53654.346,r,21.3609,0.0955
739,53654.346,i,21.6118,0.1913
739,53654.346,z,20.9635,0.303
739,53663.307,r,21.4653,0.1258
739,53663.307,i,21.4672,0.1979
