# CID -> IAU name map extracted from Sako et al. 2018 master_data.txt
# (https://portal.nersc.gov/project/dessn/SDSS/dataRelease/master_data.txt)
snid,iau_name
722,SN2005ed
739,SN2005ef
744,SN2005ei
762,SN2005eg
774,SN2005ex
1032,SN2005ez
1112,SN2005fg
1241,SN2005ff
1253,SN2005fd
1316,SN2005fe
1371,SN2005fh
1580,SN2005fb
1794,SN2005fj
2017,SN2005fo
2030,SN2005fl
2031,SN2005fm
2102,SN2005fn
2165,SN2005fr
2246,SN2005fy
2308,SN2005ey
2372,SN2005ft
2422,SN2005fi
2440,SN2005fu
2533,SN2005fs
2561,SN2005fv
2635,SN2005fw
2689,SN2005fa
2916,SN2005fz
2943,SN2005go
2992,SN2005gp
3080,SN2005ga
3087,SN2005gc
3199,SN2005gs
3256,SN2005hn
3317,SN2005gd
3377,SN2005gr
3451,SN2005gf
3452,SN2005gg
3592,SN2005gb
3901,SN2005ho
4046,SN2005gw
4241,SN2005gu
4524,SN2005gj
4679,SN2005gy
5103,SN2005gx
5350,SN2005hp
5391,SN2005hs
5395,SN2005hr
5533,SN2005hu
5549,SN2005hx
5550,SN2005hy
5635,SN2005hv
5717,SN2005ia
5736,SN2005jz
5751,SN2005hz
5844,SN2005ic
5957,SN2005ie
5966,SN2005it
5994,SN2005ht
6057,SN2005if
