# SN 2004dt BV photometry (KAIT/LOSS), published by Ganeshalingam et al. 2010,
# ApJS, 190, 418; retrieved via VizieR catalog J/ApJS/190/418. Vega magnitudes.
mjd,band,mag,emag
53228.980,B,16.495,0.010
53228.980,V,16.426,0.010
53228.990,B,16.536,0.012
53228.990,V,16.428,0.014
53229.990,B,16.218,0.010
53229.990,V,16.171,0.010
53230.000,B,16.215,0.015
53230.000,V,16.189,0.015
53230.970,B,15.985,0.010
53230.970,V,15.977,0.010
53230.980,B,16.033,0.014
53230.980,V,15.968,0.018
53231.990,B,15.774,0.010
53231.990,V,15.778,0.027
53232.970,B,15.665,0.015
53232.970,V,15.670,0.014
53233.970,B,15.545,0.012
53233.970,V,15.559,0.014
53235.000,B,15.479,0.013
53235.000,V,15.453,0.013
53235.920,B,15.396,0.010
53235.920,V,15.399,0.014
53236.970,B,15.365,0.012
53236.970,V,15.347,0.016
53237.960,B,15.361,0.011
53237.960,V,15.335,0.014
53241.970,B,15.371,0.011
53241.970,V,15.335,0.014
53243.010,B,15.411,0.010
53243.010,V,15.332,0.013
53243.940,B,15.446,0.011
53243.940,V,15.354,0.016
53244.950,B,15.463,0.012
53244.950,V,15.413,0.014
53245.870,B,15.567,0.020
53245.870,V,15.432,0.026
53246.830,V,15.501,0.020
53252.900,B,16.249,0.016
53252.900,V,15.766,0.015
53253.950,B,16.395,0.020
53253.950,V,15.807,0.016
53254.930,B,16.540,0.016
53254.930,V,15.876,0.017
53256.880,B,16.790,0.017
53256.880,V,16.016,0.015
53258.920,B,17.077,0.022
53258.920,V,16.108,0.015
53260.910,B,17.353,0.020
53260.910,V,16.289,0.018
53262.900,B,17.576,0.020
53262.900,V,16.444,0.017
53264.920,B,17.758,0.031
53264.920,V,16.590,0.021
53267.990,B,17.964,0.036
53267.990,V,16.800,0.020
53270.930,B,18.093,0.035
53270.930,V,16.859,0.027
53273.890,B,18.251,0.044
53273.890,V,17.009,0.028
53280.840,B,18.237,0.050
53280.840,V,17.177,0.024
53283.910,B,18.333,0.042
53283.910,V,17.324,0.032
53289.920,B,18.349,0.061
53289.920,V,17.363,0.034
53293.930,B,18.401,0.066
53293.930,V,17.466,0.060
53298.920,B,18.450,0.062
53298.920,V,17.589,0.059
53308.810,B,18.783,0.090
53308.810,V,17.915,0.128
53314.820,B,18.652,0.055
53314.820,V,18.027,0.041
53325.800,B,18.780,0.070
53325.800,V,18.291,0.044
53329.770,B,18.955,0.121
53329.770,V,18.286,0.092
53352.740,B,19.301,0.035
53352.740,V,18.834,0.022
53353.660,B,19.227,0.030
53353.660,V,18.818,0.065
