# SN 2006X BV photometry (CSP, Swope), published by Krisciunas et al. 2017,
# AJ, 154, 211 (Carnegie Supernova Project DR3); retrieved via VizieR catalog
# J/AJ/154/211. CSP natural-system magnitudes.
mjd,band,mag,emag
53775.180,B,16.697,0.007
53775.180,V,15.495,0.005
53778.360,B,15.908,0.008
53778.360,V,14.799,0.007
53780.370,B,15.604,0.009
53780.370,V,14.520,0.006
53783.220,B,15.408,0.007
53783.220,V,14.271,0.006
53784.330,B,15.373,0.007
53784.330,V,14.217,0.006
53785.310,B,15.363,0.007
53785.310,V,14.184,0.009
53786.340,B,15.361,0.007
53786.340,V,14.146,0.006
53788.350,B,15.419,0.007
53788.350,V,14.120,0.007
53790.300,B,15.509,0.007
53790.300,V,14.130,0.006
53795.280,B,15.898,0.006
53795.280,V,14.338,0.004
53798.300,B,16.226,0.007
53798.300,V,14.558,0.006
53799.300,B,16.319,0.007
53799.300,V,14.616,0.004
53802.290,B,16.646,0.009
53802.290,V,14.784,0.006
53804.280,B,16.844,0.009
53804.280,V,14.867,0.005
53805.240,B,16.928,0.011
53805.240,V,14.921,0.007
53809.240,B,17.242,0.023
53809.240,V,15.101,0.007
53815.220,B,17.731,0.014
53815.220,V,15.494,0.008
53818.290,B,17.905,0.016
53818.290,V,15.727,0.008
53819.270,V,15.786,0.008
53824.250,B,18.125,0.013
53824.250,V,15.994,0.006
53831.210,B,18.190,0.014
53831.210,V,16.219,0.010
53832.280,B,18.215,0.013
53832.280,V,16.243,0.008
53835.170,B,18.244,0.016
53835.170,V,16.329,0.007
53838.200,B,18.277,0.042
53838.200,V,16.413,0.009
53841.240,B,18.331,0.022
53841.240,V,16.504,0.009
53845.160,B,18.288,0.013
53845.160,V,16.561,0.007
53850.170,B,18.372,0.014
53850.170,V,16.716,0.007
53853.170,B,18.419,0.013
53853.170,V,16.802,0.007
53858.100,B,18.499,0.027
53858.100,V,16.929,0.009
53862.170,B,18.514,0.021
53862.170,V,17.033,0.010
53866.120,B,18.497,0.023
53866.120,V,17.116,0.010
53870.140,B,18.569,0.033
53870.140,V,17.223,0.009
53872.130,B,18.606,0.018
53872.130,V,17.264,0.011
53890.090,B,18.904,0.024
53890.090,V,17.661,0.010
53891.090,B,18.860,0.025
53891.090,V,17.698,0.011
53905.960,B,19.137,0.021
53905.960,V,18.031,0.013
