snid,z,mu,emu,x1,ex1,c,ec,salt3_cut,x1_des,c_des,mu_des,muerr_des,cm_mu,cm_emu,cm_mode,cm_failed,K_syst,mu_lcdm
1247420,0.15123,39.375923130523816,0.02,1.002489272541042,0.040783948335918724,-0.02737776984621787,0.0038301256370817218,,1.19981,-0.02758,39.18191,0.10248,,,,dm15_provenance,,39.2242
1249264,0.55081,43.0806162260991,0.10933394994684081,-0.18706260841332467,0.4125727295333941,-0.12118004168105545,0.01920271533957104,,-0.917499,-0.203229,42.65559,0.13092,42.6716,0.1857,S,,0.1274,42.453
1250017,0.18299,40.13821026076967,0.02,1.2081188107996432,0.06690002068536406,-0.08737050639420751,0.004267468733677695,,0.98829,-0.102435,39.8153,0.09717,,,Q,no_bracket,,39.6803
1250034,0.16167,39.65892677769705,0.02,-0.5771344119948099,0.07727933455453705,-0.004292002578357934,0.007094145262221203,,-0.602099,0.00763868,39.40043,0.10649,38.7977,0.1322,L,,0.1014,39.3832
1253119,0.3201,41.5166367310104,0.068364354757302,-0.4829514061006641,0.2727675186865707,-0.14407058508623105,0.01576996924400167,,-0.88266,-0.16628,41.11731,0.13077,,,,dm15_provenance,,41.0572
1253895,0.49331,42.66250979945464,0.07115845155988597,1.8025628333859665,0.32191744272894895,-0.10699576252884546,0.011663513808740271,,1.77615,0.0953874,41.89829,0.14609,,,R,no_bracket,,42.1649
1253920,0.19599,40.070201040309485,0.02,-1.1378042427991772,0.045746691017881376,-0.10079763397054542,0.004369662939987045,,-1.00253,-0.0824775,39.74864,0.108,39.8038,0.1263,S,,0.058,39.846
1254889,0.60613,43.116839511334774,0.06710539604052806,-0.35492311902783547,0.21035615046850328,-0.062640481392777,0.018346856990771893,,-0.558684,-0.0731532,42.81646,0.14019,42.8496,0.254,L,,0.0562,42.7046
1256680,0.29546,41.81767858387806,0.083497302238008,3.3213827472392,0.34547093167271703,-0.09360183787375964,0.019887802053691388,x1,-0.451661,0.039875,41.07496,0.18627,40.7451,0.3332,S,,0.1036,40.8561
1256701,0.43749,42.50940930388306,0.22192325772800678,0.3989428963134998,1.2930724605522101,0.0948801351479524,0.06356107279744923,,-0.915967,0.10176,42.28125,0.22732,,,R,no_bracket,,41.8537
1257695,0.18472,40.082474831047314,0.02,0.35346904915409283,0.04653280029303354,-0.1039424089182871,0.004215381051313564,,0.4761,-0.103429,39.78048,0.0965,39.8107,0.1403,S,,0.0338,39.7029
1259241,0.10582,38.48305312646204,0.02,-1.0477235636854942,0.038944116449695275,0.11326442184892216,0.004937177529439049,,-1.20437,0.0760678,38.31943,0.14642,38.0011,0.1305,S,,0.0439,38.3853
1260159,0.43153,42.38481517825463,0.10291613748799898,-0.6674613312468516,0.568597167492733,-0.026206994420459317,0.028177080852832968,,-2.4662,-0.0171505,41.92619,0.20531,,,,dm15_provenance,,41.8183
1261193,0.19293,40.27972674028048,0.02084185388499262,0.7644094838408204,0.10278673058314536,0.11868621137653357,0.009343786450195598,,0.88588,0.12817,39.86546,0.21984,,,L,rms_gate,,39.8079
1261236,0.5985,42.66513329890025,0.08191054336821002,0.6805200117866379,0.310741912946673,0.1648020451041493,0.02632807267592111,,0.68721,0.17171,42.49326,0.20019,,,L,rms_gate,,42.6712
