snid,z,mode,x1_ext,c_ext,mu_corr,emu_corr,mu_lcdm
1249264,0.55081,S,-0.18706260841332467,-0.12118004168105545,42.6304,0.299,42.453
1250034,0.16167,L,-0.5771344119948099,-0.004292002578357934,39.2215,0.1934,39.3832
1253920,0.19599,S,-1.1378042427991772,-0.10079763397054542,39.8737,0.2066,39.846
1254889,0.60613,L,-0.35492311902783547,-0.062640481392777,42.7577,0.3684,42.7046
1257695,0.18472,S,0.35346904915409283,-0.1039424089182871,39.7132,0.2269,39.7029
1259241,0.10582,S,-1.0477235636854942,0.11326442184892216,38.2113,0.2109,38.3853
1265089,0.44588,S,0.76806051565997,-0.02810571404993706,41.404,0.2853,41.9028
1277173,0.15035,S,-1.1643198899553178,-0.07590166910092444,39.3443,0.2573,39.2103
1281119,0.19947,L,0.04257610895265884,0.21287797986228985,39.9033,0.2217,39.8887
1283923,0.14715,L,-1.9977295144833827,0.15898958379227068,39.384,0.1913,39.1593
1292560,0.22582,L,0.36145477191187236,-0.11940153909981371,40.2144,0.1773,40.1909
1296321,0.18531,L,0.5124999521307751,0.08633384967211621,40.1915,0.186,39.7106
1298893,0.19712,S,-2.053104149374635,-0.025892231182509662,39.9947,0.2131,39.86
1302915,0.36022,L,-0.44867117735429973,0.028921622332225505,41.1291,0.2153,41.3559
1303279,0.17315,L,0.19988137295121344,-0.11363377598638519,39.6101,0.1827,39.5474
1303496,0.18021,L,-0.049476565022654295,0.08867129699296283,39.5416,0.1878,39.6434
1306059,0.6076,L,-0.010952140812277023,0.019449071260728867,42.5225,0.2738,42.711
1306423,0.44739,S,0.8538628194502049,0.0305485260636556,41.4489,0.2624,41.9115
1310396,0.32358,L,0.266933482346416,-0.14671400089000175,41.1367,0.203,41.0844
1315910,0.39468,S,-0.12971179954145162,0.1315697932312232,42.3593,0.3181,41.589
1317164,0.15555,S,-2.4287986950014226,0.17706330241107116,39.2442,0.2087,39.2912
1317612,0.10525,S,-0.9153871916544984,0.05323711219214755,38.3466,0.2026,38.3728
1317666,0.14227,S,-0.25478710978555386,0.08363748308307817,39.3788,0.2434,39.0794
1318737,0.07451,S,-0.4207628239818013,0.13262033065677314,37.508,0.2258,37.5773
1330031,0.10643,L,0.4164991184470397,-0.1105981321292081,38.4228,0.1749,38.3987
1330817,0.27144,S,-1.0062006674134283,-0.0262273981128327,40.9478,0.2462,40.6447
1331123,0.22248,L,-1.561944153862326,0.008961970054915669,40.1646,0.1888,40.1545
1334423,0.35888,L,1.0662170571130725,0.03317368402534926,41.1338,0.2459,41.3464
1334620,0.1972,L,-0.5245455578373597,0.20376119989232222,39.8891,0.1885,39.8609
1336453,0.18579,S,1.041224862040635,-0.060898114829140426,39.7816,0.2237,39.7169
1336464,0.38834,S,1.0577190492168524,0.09052336800474431,41.5077,0.2264,41.5476
1336687,0.2348,S,0.5139285446956361,0.11609055896209941,40.2748,0.2095,40.2866
1336975,0.11088,S,-0.5835350505824737,0.0005644584871190572,38.0769,0.202,38.494
1337687,0.32917,L,0.929892152184995,-0.10012412251827063,40.8937,0.1864,41.1276
1339392,0.18191,L,-0.8963388696800614,-0.03719154148849435,39.2857,0.1787,39.666
1344303,0.09475,S,-1.0300803997575532,0.17131616653622705,38.1697,0.236,38.1293
1368530,0.34336,L,-0.128767757887422,0.03615199996148433,41.4675,0.2566,41.2343
1479069,0.17353,L,1.1796041801192487,-0.07235106816785175,39.3963,0.1809,39.5527
1500031,0.36704,L,0.2640803964209679,-0.026318274791914176,41.4709,0.2209,41.4036
1502029,0.51921,S,0.9223925187377553,-0.13278934195749048,42.8007,0.2509,42.2984
1578103,0.16092,S,-0.5107835204967981,0.15567760612757053,39.4131,0.206,39.3721
1770639,0.17718,S,1.9138342403831867,-0.01203941822714727,40.2564,0.2838,39.6026
1777122,0.45551,S,0.17433947444771647,-0.15068199230222973,41.7531,0.3301,41.958
1810306,0.64245,S,-0.3294092182256345,-0.15029349886503607,43.1029,0.3921,42.8583
1815065,0.13617,S,-0.9388611365646518,0.08371326680317942,39.0082,0.2385,38.9758
1833339,0.13092,L,-1.031256473733884,0.03055823258867668,38.7545,0.175,38.8831
1860025,0.23625,L,-0.7198868002756162,-0.08914705286878766,40.4943,0.186,40.3017
1891082,0.55,S,2.594741804672278,-0.0433798801949975,42.4215,0.2936,42.4491
1900662,0.44894,S,0.7742149847650595,0.08221767781986689,41.7915,0.2331,41.9204
1904092,0.36896,S,-0.1904264619362599,0.04663203342790678,41.5337,0.2297,41.4169
1905171,0.30404,L,0.9977120752634434,0.08725630393719941,41.1644,0.2253,40.9278
1922067,0.1987,S,1.5201827478528003,-0.04211849792698713,39.6389,0.2233,39.8793
1929063,0.223,S,-0.8622451508090796,0.06308114772510542,39.9404,0.2252,40.1602
