snid,z,mode,x1_ext,c_ext,mu_raw,mu_corr,emu_corr,mu_lcdm
739,0.107638,L,-1.105143859507666,-0.0007991807691736241,38.7174,38.5183,0.1799,38.4249
744,0.128251,L,1.2073947242441614,0.08166064477214591,38.7731,38.8427,0.1716,38.8347
762,0.191381,L,1.2675759829187614,-0.008601373712435467,39.8377,39.9413,0.1698,39.7885
774,0.0933312,L,-0.1252891054969827,0.08541303432089109,38.1022,38.0184,0.1629,38.0944
1112,0.257608,S,0.5959736174220973,0.02445538122584323,40.6461,40.7898,0.3921,40.5151
1241,0.0897898,S,-0.5061137830635758,0.05716365841648591,38.3368,38.3623,0.2415,38.0052
1253,0.263071,L,-0.3831800127941909,-0.11762693407623581,40.6342,40.5835,0.3172,40.567
1316,0.217109,S,2.2935122960721968,-0.06935683799893899,40.1947,40.3879,0.2817,40.0948
1580,0.184,S,1.0855905262719947,-0.03082967413890908,39.1572,39.2047,0.2391,39.6935
2102,0.0951,S,1.0214764295263379,-0.11999432084513895,37.9265,38.0555,0.2823,38.1378
2165,0.288,S,1.3435083439220339,-0.08736572162156464,40.7169,41.0278,0.3198,40.7922
2246,0.1949,S,1.0101878227718153,0.09689815542613561,39.7618,39.9435,0.2617,39.8325
2308,0.148,L,0.7384243855579582,-0.17798369352109933,39.0065,39.0746,0.1846,39.1729
2372,0.180465,S,0.577672948353781,0.03747192781286157,39.2831,39.4195,0.2277,39.6468
2533,0.34,S,2.3809745587695605,-0.06593396989088335,40.5663,40.9685,0.3988,41.2094
3080,0.174404,L,0.27130594314825807,-0.056237037102959575,39.8381,39.7829,0.1734,39.5647
3087,0.16551,L,0.7126425777349343,-0.007191793309880179,39.0039,39.2912,0.166,39.4393
3452,0.231138,L,1.0860882655335153,-0.0886472255689757,39.9748,40.0816,0.194,40.248
3592,0.0865778,L,-0.10607287979494595,-0.054813516446840294,37.9521,37.8609,0.1594,37.9213
3901,0.0628607,L,1.035895333388261,0.06345433584355947,37.008,37.1534,0.1674,37.1904
4241,0.332,S,1.036221664229613,-0.021412416054470085,40.4571,40.9154,0.3333,41.1492
5103,0.161989,L,-0.2602831944256092,0.009548487476611855,39.1159,39.0014,0.1755,39.3879
5395,0.117,L,1.0257206750558332,-0.03266371172489069,38.9406,38.9855,0.16,38.6194
5550,0.156291,S,1.8515165084890892,-0.06118142281990213,38.9746,39.2371,0.2442,39.3025
5751,0.130555,L,0.8544489892586391,0.16508666764977775,38.6659,38.8867,0.1832,38.8765
5844,0.3108,S,0.4895960716403467,-0.13998074938651095,41.0615,41.2332,0.3019,40.983
5994,0.187,L,0.8312805104420642,-0.05781613050549089,39.3622,39.7636,0.1623,39.7325
6057,0.0670718,L,-0.5738775927562565,0.09180071364653791,37.345,37.3397,0.1672,37.3376
